,0,1,2,3,4
623,2,45,14,12,[1]
624,4,44,14,10,[0]
625,6,42,14,8,[4]
626,8,44,14,6,[2]
627,10,44,14,4,[1]
628,12,43,14,2,[1]
629,14,42,14,0,[0]
630,1,0,14,13,[2]
631,3,0,14,11,[2]
632,5,0,14,9,[1]
633,7,0,14,7,[2]
634,8,0,14,6,[2]
635,10,0,14,4,[1]
636,12,0,14,2,[4]
637,1,2,14,13,[5]
638,3,5,14,11,[5]
639,5,8,14,9,[2]
640,7,8,14,7,[2]
641,9,8,14,5,[1]
642,11,7,14,3,[4]
643,13,9,14,1,[3]
644,2,10,14,12,[5]
645,4,13,14,10,[4]
646,6,15,14,8,[4]
647,8,17,14,6,[2]
648,10,17,14,4,[3]
649,12,18,14,2,[0]
650,14,16,14,0,[3]
651,2,17,14,12,[1]
652,4,16,14,10,[4]
653,6,18,14,8,[3]
654,8,19,14,6,[2]
655,10,19,14,4,[4]
656,12,21,14,2,[1]
657,14,20,14,0,[1]
658,2,19,14,12,[4]
659,4,21,14,10,[4]
660,6,23,14,8,[0]
661,8,21,14,6,[2]
662,10,21,14,4,[0]
663,12,19,14,2,[0]
664,14,17,14,0,[0]
665,2,15,14,12,[1]
666,4,14,14,10,[0]
667,6,12,14,8,[3]
668,8,13,14,6,[0]
669,10,11,14,4,[4]
670,12,13,14,2,[4]
671,14,15,14,0,[0]
672,2,13,14,12,[1]
673,4,12,14,10,[4]
674,6,14,14,8,[5]
675,8,17,14,6,[5]
676,10,20,14,4,[3]
677,12,21,14,2,[1]
678,14,20,14,0,[2]
679,2,20,14,12,[2]
680,4,20,14,10,[3]
681,6,21,14,8,[0]
682,8,19,14,6,[4]
683,10,21,14,4,[3]
684,12,22,14,2,[2]
685,14,22,14,0,[3]
686,2,23,14,12,[0]
687,4,21,14,10,[5]
688,6,24,14,8,[0]
689,8,22,14,6,[0]
690,10,20,14,4,[4]
691,12,22,14,2,[5]
692,14,25,14,0,[3]
693,2,26,14,12,[5]
694,4,29,14,10,[2]
695,6,29,14,8,[5]
696,8,32,14,6,[0]
697,10,30,14,4,[3]
698,12,31,14,2,[0]
699,14,29,14,0,[5]
700,2,32,14,12,[4]
701,4,34,14,10,[1]
702,6,33,14,8,[3]
703,8,34,14,6,[4]
704,10,36,14,4,[0]
705,12,34,14,2,[4]
706,14,36,14,0,[4]
707,2,38,14,12,[5]
708,4,41,14,10,[2]
709,6,41,14,8,[0]
710,8,39,14,6,[5]
711,10,42,14,4,[0]
712,12,40,14,2,[2]
713,14,40,14,0,[2]
714,2,40,14,12,[2]
715,4,40,14,10,[1]
716,6,39,14,8,[0]
717,8,37,14,6,[4]
718,10,39,14,4,[2]
719,12,39,14,2,[4]
720,14,41,14,0,[2]
721,2,41,14,12,[0]
722,4,39,14,10,[0]
723,6,37,14,8,[4]
724,8,39,14,6,[4]
725,10,41,14,4,[1]
726,12,40,14,2,[4]
727,14,42,14,0,[2]
728,2,42,14,12,[4]
729,4,44,14,10,[1]
730,6,43,14,8,[1]
731,8,42,14,6,[2]
732,10,42,14,4,[4]
733,12,44,14,2,[5]
734,14,47,14,0,[0]
735,1,0,14,13,[1]
736,3,0,14,11,[2]
737,4,0,14,10,[1]
738,6,0,14,8,[4]
739,7,2,14,7,[1]
740,9,1,14,5,[4]
741,11,3,14,3,[2]
742,2,3,14,12,[2]
743,4,3,14,10,[1]
744,6,2,14,8,[5]
745,8,5,14,6,[3]
746,10,6,14,4,[5]
747,12,9,14,2,[1]
748,14,8,14,0,[0]
749,2,6,14,12,[5]
750,4,9,14,10,[4]
751,6,11,14,8,[2]
752,8,11,14,6,[3]
753,10,12,14,4,[0]
754,12,10,14,2,[0]
755,14,8,14,0,[5]
756,2,11,14,12,[0]
757,4,9,14,10,[1]
758,6,8,14,8,[5]
759,8,11,14,6,[1]
760,10,10,14,4,[0]
761,12,8,14,2,[1]
762,14,7,14,0,[4]
763,2,9,14,12,[2]
764,4,9,14,10,[5]
765,6,12,14,8,[0]
766,8,10,14,6,[3]
767,10,11,14,4,[3]
768,12,12,14,2,[1]
769,14,11,14,0,[1]
770,2,10,14,12,[1]
771,4,9,14,10,[1]
772,6,8,14,8,[0]
773,8,6,14,6,[0]
774,10,4,14,4,[4]
775,12,6,14,2,[2]
776,14,6,14,0,[5]
777,2,9,14,12,[5]
778,4,12,14,10,[4]
779,6,14,14,8,[5]
780,8,17,14,6,[4]
781,10,19,14,4,[3]
782,12,20,14,2,[2]
783,14,20,14,0,[1]
784,2,19,14,12,[3]
785,4,20,14,10,[2]
786,6,20,14,8,[0]
787,8,18,14,6,[3]
788,10,19,14,4,[2]
789,12,19,14,2,[5]
790,14,22,14,0,[3]
791,2,23,14,12,[3]
792,4,24,14,10,[1]
793,6,23,14,8,[3]
794,8,24,14,6,[1]
795,10,23,14,4,[2]
796,12,23,14,2,[0]
797,14,21,14,0,[5]
798,2,24,14,12,[5]
799,4,27,14,10,[3]
800,6,28,14,8,[2]
801,8,28,14,6,[0]
802,10,26,14,4,[2]
803,12,26,14,2,[2]
804,14,26,14,0,[1]
805,2,25,14,12,[4]
806,4,27,14,10,[5]
807,6,30,14,8,[5]
808,8,33,14,6,[1]
809,10,32,14,4,[0]
810,12,30,14,2,[1]
811,14,29,14,0,[5]
812,2,32,14,12,[0]
813,4,30,14,10,[2]
814,6,30,14,8,[4]
815,8,32,14,6,[3]
816,10,33,14,4,[1]
817,12,32,14,2,[1]
818,14,31,14,0,[4]
819,2,33,14,12,[4]
820,4,35,14,10,[5]
821,6,38,14,8,[5]
822,8,41,14,6,[1]
823,10,40,14,4,[4]
824,12,42,14,2,[0]
825,14,40,14,0,[0]
826,2,38,14,12,[5]
827,4,41,14,10,[4]
828,6,43,14,8,[4]
829,8,45,14,6,[0]
830,10,43,14,4,[0]
831,12,41,14,2,[2]
832,14,41,14,0,[1]
833,2,40,14,12,[4]
834,4,42,14,10,[3]
835,6,43,14,8,[5]
836,8,46,14,6,[2]
837,10,46,14,4,[2]
838,12,46,14,2,[1]
839,14,45,14,0,[3]
840,1,0,14,13,[2]
841,3,0,14,11,[4]
842,5,2,14,9,[0]
843,7,0,14,7,[1]
844,9,0,14,5,[4]
845,10,2,14,4,[3]
846,12,3,14,2,[0]
847,2,1,14,12,[5]
848,4,4,14,10,[1]
849,6,3,14,8,[1]
850,8,2,14,6,[1]
851,10,1,14,4,[1]
852,12,0,14,2,[1]
853,14,0,14,0,[5]
854,1,3,14,13,[0]
855,3,1,14,11,[4]
856,5,3,14,9,[3]
857,7,4,14,7,[2]
858,9,4,14,5,[3]
859,11,5,14,3,[5]
860,13,8,14,1,[4]
861,2,10,14,12,[4]
862,4,12,14,10,[4]
863,6,14,14,8,[3]
864,8,15,14,6,[3]
865,10,16,14,4,[0]
866,12,14,14,2,[3]
867,14,15,14,0,[4]
868,2,17,14,12,[2]
869,4,17,14,10,[0]
870,6,15,14,8,[3]
871,8,16,14,6,[4]
872,10,18,14,4,[5]
873,12,21,14,2,[5]
874,14,24,14,0,[3]
875,2,25,14,12,[0]
876,4,23,14,10,[4]
877,6,25,14,8,[4]
878,8,27,14,6,[4]
879,10,29,14,4,[0]
880,12,27,14,2,[4]
881,14,29,14,0,[3]
882,2,30,14,12,[4]
883,4,32,14,10,[3]
884,6,33,14,8,[3]
885,8,34,14,6,[4]
886,10,36,14,4,[1]
887,12,35,14,2,[5]
888,14,38,14,0,[1]
889,2,37,14,12,[2]
